강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,,,수강인원,수강정원,강의평점
교양선택,전학년,3810737-01,초급영어번역,,,3,,,0,100,0
교양선택,전학년,3810738-01,기초워드문서작성법,,,3,,,0,100,0
교양선택,전학년,3810739-01,파이썬실무활용,,,3,,,0,100,0
교양선택,전학년,3810741-01,글로벌비즈니스취업과성장,,,3,,,0,100,0
교양선택,전학년,3810742-01,스포츠와사회,,,3,,,0,100,0
교양선택,전학년,3820010-01,교육학개론,,,3,,,2,100,0
교양선택,전학년,3820016-01,다국적 기업과 글로벌라이제이션,,,3,,,1,100,0
교양선택,전학년,3820028-01,미국문화와 실용영어,,,3,,,1,100,0
교양선택,전학년,3820057-01,예제로 배우는 C언어,,,3,,,2,100,0
교양선택,전학년,3820094-01,현대 일본어 문법,,,3,,,1,100,0
교양선택,전학년,3820136-01,형사소송법,,,3,,,1,100,0
교양선택,전학년,3820192-01,태국의 역사문화 기행,,,3,,,0,100,0
교양선택,전학년,3820252-01,영화로배우는자연재해,,,3,,,0,100,0
교양선택,전학년,3820261-01,고사성어와명언명구,,,3,,,0,100,0
교양선택,전학년,0913001-01,ACTION ENGLISH(영어Ⅱ),트리쉬케루스,"화01 ,02 목01 ,02 [N7-114]",3,,,39,45,4.68
교양선택,전학년,0913002-01,영어읽기와 토론(영어Ⅰ),이강영,"월03 ,04 목03 ,04 [N14-108(56-108)]",3,,,7,1,1.8
교양선택,전학년,0913001-02,ACTION ENGLISH(영어Ⅱ),트리쉬케루스,"화03 ,04 목03 ,04 [N7-114]",3,,,44,45,4.66
교양선택,전학년,0913002-02,영어읽기와 토론(영어Ⅰ),트리쉬케루스,"수01 ,02 금01 ,02 [N14-703(56-703)]",3,,,33,45,4.31
교양선택,전학년,0913001-03,ACTION ENGLISH(영어Ⅱ),벤자민조엘마크,"월01 ,02 수01 ,02 [N7-303]",3,,,36,45,4.81
교양선택,전학년,0913002-03,영어읽기와 토론(영어Ⅰ),허선민,"수03 ,04 금03 ,04 [N14-704(56-704)]",3,,,40,45,5
교양선택,전학년,0913001-04,ACTION ENGLISH(영어Ⅱ),벤자민조엘마크,"월03 ,04 수03 ,04 [N7-303]",3,,,41,45,4.83
교양선택,전학년,0913002-04,영어읽기와 토론(영어Ⅰ),벤자민조엘마크,"화01 ,02 목01 ,02 [N7-407]",3,,,42,45,4.7
교양선택,전학년,0913001-05,ACTION ENGLISH(영어Ⅱ),피터 맥 고완,"월01 ,02 목01 ,02 [N14-208(56-208)]",3,,,36,45,3.64
교양선택,전학년,0913002-05,영어읽기와 토론(영어Ⅰ),벤자민조엘마크,"화03 ,04 목03 ,04 [N7-407]",3,,,42,45,4.71
교양선택,전학년,0913001-06,ACTION ENGLISH(영어Ⅱ),피터 맥 고완,"월03 ,04 목03 ,04 [N14-208(56-208)]",3,,,39,45,3.64
교양선택,전학년,0913002-06,영어읽기와 토론(영어Ⅰ),피터 맥 고완,"화01 ,02 금01 ,02 [N14-208(56-208)]",3,,,33,45,2.71
