강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,단과대학,학과,수강인원,수강정원,강의평점
전공필수,3학년,8704012-01,현대 동양화 기법III,윤문영,"화06 ,07 ,08 ,09 [N16-2-308(65A-308)]",2,융합학과군,조형예술학과,3,20,0
전공필수,3학년,8704013-01,현대 동양화 기법IV,이상헌,"금06 ,07 ,08 ,09 [N16-2-308(65A-308)]",2,융합학과군,조형예술학과,2,20,0
전공선택,3학년,8704014-01,동양화 재료와 기법연구I,최창봉,"목01 ,02 ,03 ,04 [N16-2-308(65A-308)]",2,융합학과군,조형예술학과,2,20,0
전공선택,3학년,8704027-01,융합예술 문화콘텐츠연구Ⅰ,박재철,"월06 ,07 ,08 ,09 [N16-2-308(65A-308)]",2,융합학과군,조형예술학과,2,20,0
전공필수,3학년,8705013-01,서양화III-A,진익송,"월06 ,07 ,08 ,09 [N16-2-407(65A-407)]",2,융합학과군,조형예술학과,12,20,5
전공필수,3학년,8705014-01,서양화III-B,진익송,"목01 ,02 ,03 ,04 [N16-2-407(65A-407)]",2,융합학과군,조형예술학과,12,20,0
전공선택,3학년,8705015-01,서양화기법연구I,최민솔,"목06 ,07 ,08 ,09 [N16-2-407(65A-407)]",2,융합학과군,조형예술학과,4,20,0
전공선택,3학년,8705016-01,서양화조형실습I,염소진,"화06 ,07 ,08 ,09 [N16-2-407(65A-407)]",2,융합학과군,조형예술학과,3,20,0
전공선택,3학년,8705028-01,3D 아트워크,백솔뫼,"금06 ,07 ,08 ,09 [N16-3-104(65-104)]",2,융합학과군,조형예술학과,3,18,0
전공필수,3학년,8706013-01,입체조형연구I,배승수,"월06 ,07 ,08 ,09 [N16-2-207(65A-207)]",2,융합학과군,조형예술학과,3,20,0
전공필수,3학년,8706014-01,입체조형연구II,윤지영,"수06 ,07 ,08 ,09 [N16-2-207(65A-207)]",2,융합학과군,조형예술학과,3,20,0
전공선택,3학년,8706015-01,매체 조형실습I,윤덕수,"화06 ,07 ,08 ,09 [N16-2-207(65A-207)]",2,융합학과군,조형예술학과,3,20,0
전공필수,4학년,8701017-01,미학,한의정,"월02 ,03 ,04 [N16-2-401(65A-401)]",3,융합학과군,조형예술학과,20,40,5
전공선택,4학년,8701019-01,미술과 교재 연구 및 지도법,원영미,"목09 ,10 ,11 [N16-2-309(65A-309)]",3,융합학과군,조형예술학과,0,20,0
전공선택,4학년,8701030-01,현대미술과 21세기 기술문화,유혜란,"화02 ,03 ,04 [N16-2-309(65A-309)]",3,융합학과군,조형예술학과,9,20,0
