강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,,강의평점,수강인원,수강정원
전공선택,4학년,5305029-01,한국한문학사,어강석,"화07 ,08 목07 [N16-1-225(58-225)]",3,,,13,40
전공선택,4학년,5305046-01,현대문학특강,이익성,"목02 ,03 ,04 [N16-1-122(58-122)]",3,,,1,50
전공선택,4학년,5305051-01,국어과교재연구및지도법,박수진,"화02 ,03 ,04 [N16-1-122(58-122)]",3,,,13,50
전공선택,4학년,5305224-01,문학 창작론,권정우,"수08 ,09 목09 [N16-1-122(58-122)]",3,,,16,50
전공필수,1학년,5341001-01,독일어 회화Ⅰ,바인만 루돌프,월02 수02 목02 [N16-1-259(58-259)],3,,,14,40
전공필수,1학년,5341001-02,독일어 회화Ⅰ,바인만 루돌프,월05 수05 목05 [N16-1-259(58-259)],3,,,22,40
전공선택,1학년,5341002-01,독일어 연습Ⅰ,정수정,"화04 ,05 목04 [N16-1-260(58-260)]",3,,,35,40
전공선택,1학년,5341003-01,독일문학 산책,전경화,"금02 ,03 ,04 [N16-1-259(58-259)]",3,,,34,40
전공선택,2학년,5341007-01,독일어 회화Ⅲ,바인만 루돌프,월01 수01 목01 [N16-1-259(58-259)],3,,,4,40
전공선택,2학년,5341007-02,독일어 회화Ⅲ,바인만 루돌프,월06 수06 목06 [N16-1-259(58-259)],3,,,1,40
전공선택,2학년,5341008-01,독일어 연습Ⅲ,박현정,"화04 ,05 ,06 [N16-1-259(58-259)]",3,,,14,40
전공선택,2학년,5341009-01,중급독문법,최도규,"월08 ,09 목03 [N16-1-259(58-259)]",3,,,21,40
전공선택,2학년,5341010-01,독일어 문장 구조,정수정,"화07 [N16-1-260(58-260)] 수03 ,04 [N16-1-259(58-259)]",3,,,19,40
전공선택,2학년,5341011-01,독일문화 탐방,전경화,"목07 ,08 ,09 [N16-1-259(58-259)]",3,,,36,40
전공선택,2학년,5341012-01,독일의 정치와 사회,전휘원,"금02 ,03 ,04 [N16-1-260(58-260)]",3,,,24,40
전공선택,2학년,5341013-01,독일 아동·청소년 교육과 문학,이정희,"화03 수07 ,08 [N16-1-260(58-260)]",3,,,13,40
전공선택,3학년,5341020-01,독일의 지리와 역사,이정희,"화02 목02 ,03 [N16-1-260(58-260)]",3,,,12,40
전공선택,3학년,5341021-01,B2 텍스트 읽기,이정희,"화06 수01 ,02 [N16-1-260(58-260)]",3,,,7,40
전공선택,3학년,5341022-01,독일드라마와 공연예술,전휘원,"금06 ,07 ,08 [N16-1-260(58-260)]",3,,,24,40
전공선택,3학년,5341023-01,독일문학과 사회 비평,문광훈,"화08 ,09 목05 [N16-1-260(58-260)]",3,,,4,40
전공선택,3학년,5341024-01,독일의 언어정책과 통상전략,박현정,"수07 ,08 ,09 [N16-1-259(58-259)]",3,,,17,40
전공선택,4학년,5341031-01,독일어와 한국어 비교,최도규,"화07 ,08 ,09 [N16-1-259(58-259)]",3,,,6,40
전공선택,4학년,5341032-01,독일지역학 세미나,전경화,"금06 ,07 ,08 [N16-1-259(58-259)]",3,,,3,40
전공선택,4학년,5341034-01,독일 철학과 현대유럽,문광훈,"수05 목02 ,03 [N16-1-258(58-258)]",3,,,4,40
전공선택,1학년,5343001-01,초급러시아어Ⅰ,최낙준,"목06 ,07 ,08 [N16-1-460(58-460)]",3,,,22,40
전공선택,1학년,5343001-02,초급러시아어Ⅰ,강수경,"금02 ,03 ,04 [N16-1-459(58-459)]",3,,,6,40
전공선택,2학년,5343004-01,중급러시아어Ⅰ,최낙준,"월06 ,07 ,08 [N16-1-460(58-460)]",3,,,23,40
전공선택,2학년,5343005-01,중급러시아어연습Ⅰ,강수경,"목08 ,09 ,10 [N16-1-226(58-226)]",3,,,16,40
전공선택,2학년,5343006-01,러시아어회화Ⅰ,세르게이 차이코프스키,"월09 수05 ,06 [N16-1-459(58-459)]",3,,,20,40
전공선택,2학년,5343006-02,러시아어회화Ⅰ,세르게이 차이코프스키,"화05 ,06 수08 [N16-1-459(58-459)]",3,,,12,40
전공선택,2학년,5343007-01,러시아사회와문화,이규영,"금01 ,02 ,03 [N16-1-460(58-460)]",3,,,19,40
전공선택,2학년,5343008-01,러시아문학강독Ⅰ,김원한,"월03 수02 ,03 [N16-1-460(58-460)]",3,,,32,40
전공선택,2학년,5343041-01,러시아 문학과 문화의 역사,김원한,"월01 ,02 수01 [N16-1-460(58-460)]",3,,,27,40
전공선택,3학년,5343016-01,고급러시아어Ⅰ,최낙준,"월02 ,03 ,04 [N16-1-226(58-226)]",3,,,8,50
전공선택,3학년,5343017-01,고급러시아어회화Ⅰ,세르게이 차이코프스키,"월07 ,08 화08 [N16-1-459(58-459)]",3,,,5,40
전공선택,3학년,5343020-01,러시아민속과종교,이규영,"목07 ,08 ,09 [N16-1-459(58-459)]",3,,,16,40
전공선택,3학년,5343038-01,TORFLⅠ(2),세르게이 차이코프스키,"화02 ,03 [N16-1-459(58-459)] 수03 [N16-1-226(58-226)]",3,,,7,40
전공선택,3학년,5343039-01,러시아역사‧문학‧음악기행,이규영,"목02 ,03 ,04 [N16-1-226(58-226)]",3,,,16,50
전공선택,3학년,5343040-01,러시아어와 러시아사회,엄순천,"금04 ,05 ,06 [N16-1-460(58-460)]",3,,,21,40
전공선택,4학년,5343028-01,러시아어교육론,최성호,"월02 ,03 ,04 [N16-1-459(58-459)]",3,,,4,40
전공선택,4학년,5343029-01,한러비교언어문화,최성호,"목02 ,03 ,04 [N16-1-459(58-459)]",3,,,10,40
전공선택,4학년,5343030-01,러시아영화와영화산업,김태옥,"화01 ,02 ,03 [N16-1-460(58-460)]",3,,,19,40
전공선택,4학년,5343031-01,러시아시베리아·극동지역연구,김태옥,"수01 ,02 ,03 [N16-1-459(58-459)]",3,,,7,40
전공필수,1학년,5339018-01,서양사개설,이찬행,"목07 ,08 ,09 [N16-1-359(58-359)]",3,,,29,40
전공선택,1학년,5339025-01,한국고대사,김영관,"월05 ,06 화06 [N16-1-359(58-359)]",3,,,17,40
전공필수,1학년,5339046-01,동양사강독,이평수,"수07 ,08 ,09 [N16-1-359(58-359)]",3,,,22,40
전공선택,2학년,5339022-01,서양중세사,윤선자,"월01 ,02 ,03 [N16-1-329(58-329)]",3,,,20,80
전공필수,2학년,5339032-01,한국사학사,박걸순,"목01 ,02 ,03 [N16-1-359(58-359)]",3,,,22,40
전공필수,2학년,5339038-01,서양사강독,윤진,"화05 ,06 ,07 [N16-1-360(58-360)]",3,,,24,40
전공선택,2학년,5339042-01,조선전기사,김의환,"월06 ,07 ,08 [N16-1-360(58-360)]",3,,,6,40
전공선택,2학년,5339062-01,중국사개설,김진,"목04 ,05 ,06 [N16-1-359(58-359)]",3,,,13,40
전공선택,2학년,5339063-01,중국고대사,정재균,"수02 ,03 ,04 [N16-1-359(58-359)]",3,,,16,40
전공선택,2학년,5339067-01,사적해제,노인환,"금01 ,02 ,03 [N16-1-359(58-359)]",3,,,2,40
